Career,Possible Abilities,Possible Skills,Restrictions,Special,Starting Assets,Starting Connections,Starting Money
Priest (Nyssor),"Astute, Cold Steel, Empower Weapon, Immunity: Cold, Natural Leader, Snow-Wreathed","Command 3D, Metalworking 4D, General Skills 4D, Interrogation 3D, Healing 2D, Nagivation 3D, Persuasion 3D, Oratory 3D, Research 2D, Survival 3D; Great Weapon 3D",,,"Nyss claymore, Nyss leather armor",Fane of Nyssor,50
Pugilist,"Brawler, Defender, Flying Fists, Grappler, Head-Butt, Heave-Ho, Hulking Presence, Rock Solid, Trip, Waylay","Bribery 3D, Etiquette 3D, General Skills 4D, Interrogation 2D, Comman4D, Law 2D,  Persuasion 3D, Seduction 2D, Streetwise 4D; Hand Weapon 3D, Unarmed Combat 4D",,+1 die type to Strength or Vigor.,None,None,100
Raider,"Ambush, Battle Plan: Call to Action, Boarding Action, Disease Resistance, Gang, Precision Strike, Ram, Roll with It, Specialization (Lacerator), Sprint","Command 2D, General Skills 4D, Nagivation 3D, Rope Use 4D, Sailing 3D; Hand Weapon 4D, Pistol 3D, Throwing 3D, Unarmed Combat 4D","Cutthroat, Duelist, Gun Mage, Military Officer, Pirate, Pistoleer, Ranger, Warcaster, Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm)",,"Lacerator, Leather Armor",Black Feet,0
Ranger,"Battle Plan: Go to Ground, Battle Plan: Reconnaissance, Battle Plan: Shadow, Camouflage, Disease Resistance, Fast Reload, Light Cavalry, Night Fighter, Pathfinder, Prowl, Saddle Shot, Signal Language, Swift Hunter, Swift Rider, Traceless Path","Command 3D, Any Craft 2D, Cryptography 1D, General Skills 4D, Healing 3D, Nagivation 4D, Rope Use 4D, Sneak 4D, Survival 4D, Tracking 4D; Archery 4D, Crossbow 3D, Hand Weapon 2D, Pistol 2D, Rifle 4D, Throwing 4D, Unarmed Combat 3D",,,None,None,75
Raptor,"Beast Handler, Cavalry Fighter, Evasive Rider, Expert Rider, Light Cavalry, Mount Attack (Ulk), Opening Salvo, Saddle Shot, Swift Rider, Trained Rider (Ulk)","Command 2D, General Skills 4D, Nagivation 3D, Survival 3D, Tracking 4D; Archery 3D, Great Weapon 3D, Unarmed Combat 2D",,,"Nyss Leather Armor, Ulk with Tack and Harness",Nyss Shard,50
Ravager,"Consume Essence, Disease Resistance, Fearless, Heart Eater, Hyper Awareness, Overtake, Pathfinder, Specialization (Tharn Axe), Specialization (Tharn Bow), Sprint, Treewalker","Command 3D, General Skills 4D, Nagivation 3D, Sneak 2D, Survival 4D, Tracking 3D,Any Craft(Tharn equipment) 4D; Archery 4D, Great Weapon 4D, Hand Weapon 4D, Throwing 3D, Unarmed Combat 4D",,,"Tharn Leathers, Tharn Axe Or Tharn Bow with a Quiver of 10 Arrows",Character's Tribe,0
Reclaimer,"Communion, Fearless, Gatekeeper, Immunity: Fire, Oath of Silence, Reclaim, Signal Language, Soulstorm, Urcaen's Gate, Whispers of the Creator","Cryptography 3D, General Skills 4D; Great Weapon 4D, Hand Weapon 3D","Arcanist, Field Mechanik, Investigator, Priest (Menoth), Soldier, Warcaster, Warcaster (Protectorate), Arcane Mechanik (Vassal of Menoth)",,"Reclaimant's mask, ten grave markers, Reclaimant torch",Reclaiment Order,0
Rifleman,"Crackshot, Dual Shot, Fast Reload, Marksman, Night Fighter, Return Fire, Saddle Shot, Sniper, Swift Hunter, Targeteer","Gunsmithing 4D, General Skills 4D, Survival 3D; Rifle 4D",,,"ammo bandolier, and a rifle (heavy) or rifle (repeating) (with powder and 10 ammo)",None,50
Ryssovass,"Blade Shield (Nyss Great Sword), Cleave, Defender, Defensive Line, Fearless, Load Bearing, Precision Strike, Relentless Charge, Renowned, Retaliatory Strike, Set Defense, Specialization (Nyss Great Sword)","Command 4D, General Skills 4D, Survival 3D, Metalworking 4D; Great Weapon 4D, Unarmed Combat 3D",,,"Nyss Great Sword, Ryssovass Plate Armor",Nyss Shard,0
Scout (Pyg Burrower),"Battle Plan: Reconnaissance, Battle Plan: Shadow, Camouflage, Disease Resistance, Expert Rider, Fast Reload, Go to Ground, Knife Thrower, Light Cavalry, Night Fighter, Pathfinder, Prowl, Pursuit, Signal Language, Skilled Trapper, Specialization (Slug Gun), Survivalist, Swift Hunter, Swift Rider, Traceless Path, Tunneling","Command 3D, Cryptography 1D, General Skills 4D, Search 3D, Healing 3D, Nagivation 4D, Rope Use 4D, Sneak 4D, Survival 4D, Tracking 4D, Any Craft 2D; Archery 3D, Crossbow 3D, Hand Weapon 3D, Pistol 3D, Rifle 3D, Throwing 3D, Unarmed Combat 3D",,,"Custom Battle Armor, Pickaxe or Shovel",None,40
Scout,"Battle Plan: Reconnaissance, Battle Plan: Shadow, Camouflage, Disease Resistance, Expert Rider, Fast Reload, Knife Thrower, Light Cavalry, Night Fighter, Pathfinder, Prowl, Pursuit, Signal Language, Skilled Trapper, Survivalist, Swift Hunter, Swift Rider, Traceless Path","Command 3D,Any Craft(any) 2D, Cryptography 1D, General Skills 4D, Search 3D, Healing 3D, Nagivation 4D, Rope Use 4D, Sneak 4D, Survival 4D, Tracking 4D; Archery 3D, Crossbow 3D, Hand Weapon 3D, Pistol 3D, Rifle 3D, Throwing 3D, Unarmed Combat 3D",,,None,None,75
Scrutator,"Authority, Battle Plan: Call of Action, Dominating Presence, Iron Will, Language, Natural Leader, Rallying Cry, Torture","Command 4D, General Skills 4D, Interrogation 4D, Law 4D, Healing 2D, Persuasion 4D, Oratory 4D; Great Weapon 3D, Hand Weapon 3D","Allegiant (Order of the Fist), Investigator, Military Officer, Priest (Menoth), Warcaster, Warcaster (Protectorate)",,"Scrutator's masked helm, a Wrack",Temple of Menoth,100
Searforge Trader,"Always a Deal to be Made, Appraise, Conniver, Counter Offer, Language, Port of Call, Silver Tongued","Bribery 4D, Command 2D, Deception 4D, Etiquette 4D General Skills 4D, Law 4D, Nagivation 4D, Persuasion 4D, Oratory 3D, Survival 2D; Hand Weapon 3D, Pistol 3D",,,50gc per month income,Searforge Commission,150
Seeker,"Advisor, Cover Identity, Instructor, Iron Will, Language, Power of Truth, Team Leader, Team Player, University Education","Bribery 3D, Cryptography 4D, Deception 4D, Disguise 2D, Etiquette 4D, General Skills 4D, Healing 2D, Nagivation 4D, Oratory 4D, Research 4D, Streetwise 2D, Survival 2D; Hand Weapon 2D, Pistol 2D",,,None,Seekers,100
Shaman (Devourer Wurm),"Aegis, Blood Trade, Disease Resistance, Flesh of Steel, Gift of the Beast, Poison Resistance, Staredown, Survivalist","Command 3D, Deception 4D, Disguise 3D, Escape Artist 3D, General Skills 4D, Interrogation 3D, Healing 2D, Nagivation 3D, Persuasion 2D, Oratory 2D, Sneak 3D, Survival 3D; Great Weapon 3D, Hand Weapon 3D",,,None,Character's Tribe,75
Shaman (Dhunia),"Balm of Dhunia, Charmer, Dispel, Fate Blessed, Natural Leader","Command 3D, General Skills 4D, Healing 3D, Persuasion 4D, Oratory 4D, Survival 2D, Stoneworking 4D; Great Weapon 3D, Hand Weapon 3D",,,None,Character's Tribe,75
Skinwalker,"Fearless, Hunting Howl, Hyper Regeneration, Jaws of the Beast, Life Drinker, Load Bearing, Pursuit, Relentless Advance, Retaliatory Strike, Warpborn","General Skills 4D, Survival 4D, Tracking 4D; Great Weapon 4D, Unarmed Combat 4D","Berserker, Chieftan, Scout, Shaman (Devourer), Warlock (Circle), Warrior, Wolf of Orboros, Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm)",,Skinwalker Full Plate,"Choose One: Connections (Circle Orboros), Connections (Human Tribe), Connections (Wolves Of Orboros)",50
Slaughterhouser,"Broad Stroke, Cleave, Fearless, Finisher, Gang, Hack, Load Bearing, Precision Strike, Relentless Charge, Specialization (Halberd)","Command 3D, General Skills 4D, Survival 3D; Great Weapon 4D, Unarmed Combat 3D",,,"Halberd, Full Plate Armor",Thornfall Alliance,25
Soldier (Marine),"'Jack Marshall, Cautious Advance, Cavalry Charge, Disease Resistance, Fast Reload, Find Cover, Grenadier, Hit the Deck!, Language, Ride-By Attack, Roll With It, Saddle Shot, Sentry, Specilization (Cutlass), Specialization (Gaff Spear)","Command 3D, General Skills 4D, Healing 3D, Nagivation 2D, Sneak 2D, Sailing 3D, Survival 3D; Crossbow 3D, Great Weapon 4D, Light Artillery 3D, Hand Weapon 3D, Pistol 3D, Rifle 4D, Shield 2D, Throwing 3D, Unarmed Combat 3D",,,None,None,100
Soldier,"'Jack Marshall, Cautious Advance, Cavalry Charge, Disease Resistance, Fast Reload, Find Cover, Grenadier, Hit the Deck!, Language, Ride-By Attack, Roll With It, Saddle Shot, Sentry","Command 3D, General Skills 4D, Healing 3D, Nagivation 2D, Sneak 2D, Survival 3D; Crossbow 3D, Great Weapon 4D, Light Artillery 3D, Hand Weapon 3D, Pistol 3D, Rifle 4D, Shield 2D, Throwing 3D, Unarmed Combat 3D",,,None,None,100
Sorcerer (Fire),"Camouflage, Dodger, Elemental Mastery, Immunity (Fire), Traceless Path","General Skills 4D, Sneak 3D, Survival 3D; Archery 3D, Crossbow 3D, Hand Weapon 3D, Throwing 2D, Unarmed Combat 2D",,,None,None,75
Sorcerer (Ice),"Camouflage, Dodger, Elemental Mastery, Immunity (Cold), Traceless Path","General Skills 4D, Sneak 3D, Survival 3D; Archery 3D, Crossbow 3D, Hand Weapon 3D, Throwing 2D, Unarmed Combat 2D",,,None,None,75
Sorcerer (Stone),"Camouflage, Dodger, Elemental Mastery, Traceless Path","General Skills 4D, Sneak 3D, Survival 3D; Archery 3D, Crossbow 3D, Hand Weapon 3D, Throwing 2D, Unarmed Combat 2D",,+1 die type to Vigor.,None,None,75
Sorcerer (Storm),"Camouflage, Dodger, Elemental Mastery, Traceless Path","General Skills 4D, Sneak 3D, Survival 3D; Archery 3D, Crossbow 3D, Hand Weapon 3D, Throwing 2D, Unarmed Combat 2D",,+1 to Pace.,None,None,75
Spy,"Battle Plan: Shadow, Cover Identity, Iron Will, Language, Poison Resistance, Prowl, Signal Language, Truth Reader, Waylay","Bribery 4D, Command 3D, Cryptography 4D, Deception 4D, Disguise 4D, Escape Artist 4D, Etiquette 4D, Forgery 4D, General Skills 4D, Interrogation 4D, Law 4D, Lock Picking 2D, Persuasion 4D, Seduction 4D, Sneak 4D, Streetwise 4D; Hand Weapon 3D, Pistol 3D, Throwing 3D, Unarmed Combat 3D",,,forged identity papers,Intelligence Network,100
Stormblade,"'Jack Marshall, Blaster, Close Shot, Load Bearing, Quick Work, Relentless Charge, Specialization (Storm Glaive)","Command 4D, Etiquette 2D, General Skills 4D, Healing 2D; Great Weapon 4D","Aristocrat, Knight, Man-at-Arms, Military Officer, Soldier, Warcaster, Warcaster (Cygnaran)",,Storm Glaive and Storm Knight armor,Cygnarian Military,0
Stormsmith,"Electromancer, Eye of the Storm, Hit the Deck!, Maestro, Specialization (Stormcaller and Lightning Rod), Storm Booster, Weatherman, Weather Vane","Command 4D, General Skills 4D, Mechanikal Engineering 3D, Stormsmithing 4D; Great Weapon 2D, Hand Weapon 2D",,,"Stormsmith armor, Stormcaller and Lightning rod",Cygnaran military,0
Thamarite Advocate,"Black Tongue, Corruptor, Dark Scribe, Ghost Shield, Grave Man, Haruspex, Imbue Weapon, Inscribe Thrall Rune, Iron Will, Language, Necromancer, Shadow Magic, Soul Taker, Soul Thief","Bribery 4D, Craft Thrall) 4D, Cryptography 4D, Deception 4D, Disguise 4D, Etiquette 3D, General Skills 4D, Interrogation 2D, Law 4D, Healing 2D, Persuasion 4D, Oratory 4D, Research 4D, Seduction 4D, Sneak 3D, Streetwise 3D,; Hand Weapon 3D, Pistol 3D",,,None,None,100
Thief,"Appraise, Camouflage, Card Sharp, Conniver, Dodger, Fleet Foot, Get Away, Language (Five Cant), Parry, Prowl, Traceless Path","Bribery 4D, Any Craft 2D, Deception 4D, Disguise 4D, Escape Artist 4D, Etiquette 1D, Forgery 4D, General Skills 4D, Law 2D, Lock Picking 4D, Persuasion 4D, Pick Pocket 4D, Sneak 4D, Streetwise 4D; Hand Weapon 3D, Pistol 2D, Throwing 3D, Unarmed Combat 2D",,,thief's tools,None,75
Tinker,"Appraise, Conniver, Demolish, Jury Rig, Scavenger, Scrapper, Tinkering","Deception 4D, General Skills 4D, Persuasion 4D, Streetwise 4D, Survival 2D, Any Craft 4D; Hand Weapon 2D, Pistol 3D",,,Tinker's Kit,None,85
Trapper,"Astute, Brutal Trapper, Camouflage, Cautious Advance, Cautious Trapper, Hidden Traps, Prowl, Skilled Trapper","General Skills 4D, Rope Use 4D, Sneak 2D, Survival 4D; Archery 3D, Hand Weapon 2D, Rifle 3D",,,None,None,75
Trencher,"'Jack Marshall, Anatomical Precision, Bayonet Charge, Bomber, Dig In, Fire in the Hole!, Grenadier, Hit the Deck!, Relentless Charge, Specialization (Bayonet)","Command 3D, General Skills 4D, Interrogation 3D, Healing 3D, Sneak 3D, Survival 3D; Great Weapon 3D, Light Artillery 4D, Hand Weapon 3D, Pistol 3D, Rifle 4D, Throwing 4D, Unarmed Combat 3D","Military Officer, Ranger, Rifleman, Soldier, Warcaster, Artillerist",,"ammo bandolier, bayonet (rifle), entrenching spade, rifle (military), 3 smoke grenades, trencher medium infantry armor",Cygnarian Military,25
Urban Nomad,"Adaptable (Urban), Archer, Crackshot, Fast Reload, Keen Eyed, Marksman, Night Fighter, Roll With It, Signal Language, Street Survivor, Swift Hunter, Targeteer","Bribery 4D, Escape Artist 4D, General Skills 4D, Nagivation 2D, Sneak 4D, Survival 4D; Archery 4D, Great Weapon 4D, Hand Weapon 3D, Unarmed Combat 3D",,,"Nyss Claymore, Nyss Bow",None,0
Warcaster (Cygnaran),"Bond, Field Marshal: Magical Attack, Field Marshal: Relentless Charge, Field Marshal: Shield Guard, Natural Leader","Command 4D, General Skills 4D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 2D","Arcane Mechanik, Arcanist, Field Mechanik, Knight, Mant-at-Arms, Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm), Stormblade, Trencher, Gun Mage, Gun Mage (Arcane Tempest), Aristocrat, Horseman, Military Officer, Pistoleer, Ranger, Rifleman, Soldier",,"Choose one: Suit of Warcaster Armor (light) or Warcaster Armor (medium), mechanika hand weapon or great weapon, or mechanika pistol or hand cannon.  Item starts Bonded.",Cygnaran military,0
Warcaster (Cyriss),"Blaster, Bond,Clockwork Transcendence, Convergence Warcaster, Field Marshal: Celestial Harmony, Field Marshal: Magical Attack, Field Marshal: Shield Guard, Overpower, Vessel Upgrade","Command 3D, Any Craft 3D, General Skills 4D, Mechanikal Engineering 3D, Research 3D; Great Weapon 3D, Hand Weapon 3D",,,"Choose one: Suit of Warcaster Armor (light) or Warcaster Armor (medium), mechanika hand weapon, or mechanika hand cannon.  Item starts Bonded.",Convergence of Cyriss,0
Warcaster (Khadoran),"Bond, Field Marshal: Magical Attack, Field Marshal: Relentless Charge, Field Marshal: Shield Guard, Natural Leader","Command 4D, General Skills 4D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 2D","Arcanist (Greylord), Alchemist, Arcane Mechanik, Aristocrat, Explorer, Horseman, Investigator, Military Officer, Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm), Spy, Assault Kommando, Iron Fang, Soldier",,"Choose one: Suit of Warcaster Armor (light) or Warcaster Armor (medium), mechanika hand weapon or great weapon, or mechanika pistol or hand cannon.  Item starts Bonded.",Khadoran Military,0
Warcaster (Llaelese),"Bond, Field Marshal: Magical Attack, Field Marshal: Relentless Charge, Field Marshal: Shield Guard, Natural Leader","Command 4D, General Skills 4D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 2D",,,"Choose one: Suit of Warcaster Armor (light) or Warcaster Armor (medium), mechanika hand weapon or great weapon, or mechanika pistol or hand cannon.  Item starts Bonded.",None,0
Warcaster (Ordic),"Bond, Field Marshal: Magical Attack, Field Marshal: Relentless Charge, Field Marshal: Shield Guard, Natural Leader","Command 4D, General Skills 4D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 2D","Arcane Mechanik, Arcanist, Aristocrat, Artillerist, Duelist, Explorer, Field Mechanik, Horseman, Man-at-Arms, Military Officer, Pirate, Priest (Morrow), Soldier, Soldier (Marine), Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm)",,"Choose one: Suit of Warcaster Armor (light), Warcaster Armor (medium) or Warcaster Armor (Naval), mechanika hand weapon or great weapon, or mechanika pistol or hand cannon.  Item starts Bonded.",Ordic Military,0
Warcaster (Protectorate),"Bond, Field Marshal: Magical Attack, Field Marshal: Relentless Charge, Field Marshal: Shield Guard, Natural Leader","Command 4D, General Skills 4D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 2D","Allegiant (Order of the Fist), Cutthroat, Duelist, Exemplar, Field Mechanik, Paladin (Order of the Wall), Priest (Menoth), Reclaimer, Scrutator",,"Choose one: Suit of Warcaster Armor (light) or Warcaster Armor (medium), mechanika hand weapon or great weapon, or mechanika pistol or hand cannon.  Item starts Bonded.",Protectorate Military,0
Warcaster (Rhulic),"Bond, Field Marshal: Magical Attack, Field Marshal: Relentless Charge, Field Marshal: Shield Guard, Natural Leader, Rhulic Warcaster","Command 4D, General Skills 4D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 2D",,,"Choose one: Suit of Warcaster Armor (light or medium), mechanika hand weapon, or mechanika hand cannon.  Item starts Bonded.",Dwarven Clan,0
Warcaster,"Bond, Field Marshal: Magical Attack, Field Marshal: Relentless Charge, Field Marshal: Shield Guard, Natural Leader","Command 4D, General Skills 4D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Unarmed Combat 2D",,,"Choose one: Suit of Warcaster Armor (light) or Warcaster Armor (medium), mechanika hand weapon or great weapon, or mechanika pistol or hand cannon.  Item starts Bonded.",None,0
Warlock (Circle),"Beast Handler, Calm, Earth Magic, Empower Weapon, Field Marshal: Magical Weapon, Field Marshal: Relentless Charge, Pack Hunter, Pathfinder, Resonance: Devourer Warbeast, Resonance: Wold, Stone Warder, Warlock Bond, Wold Mastery","Command 3D, General Skills 4D, Sneak 3D, Survival 3D; Great Weapon 3D, Hand Weapon 3D, Unarmed Combat 3D",,,medium-based Devourer warbeast or medium-based Wold,Character's Tribe,25
Warlock (Farrow),"Empower Weapon, Field Marshal: Counter Charge, Field Marshal: Hog Wild, Goad, Maltreatment, Resonance: Farrow Warbeast, Souie!, Warlock Bond","Command 3D, Deception 3D, General Skills 4D, Persuasion 3D, Streetwise 3D, Survival 3D; Great Weapon 3D, Hand Weapon 3D, Pistol 3D, Rifle 3D, Throwing 3D, Unarmed Combat 3D",,,medium-based Farrow warbeast or two razor boar warbeasts,None,25
Warlock (Swamp),"Empower Weapon, Field Marshal: Counter Charge, Field Marshal: Magical Attack, Field Marshal: Poltergeist, Maltreatment, Resonance: Swamp Warbeast, Spirit Eater, Warlock Bond","Command 3D, General Skills 4D, Survival 3D; Great Weapon 3D, Hand Weapon 3D, Unarmed Combat 3D",,,medium-based Swamp warbeast,None,25
Warlock (Trollkin),"Empower Weapon, Field Marshal: Regenerate, Field Marshal: Relentless Charge, Field Marshal: Unyielding, Goad, Resonance: Trollblood Warbeast, Troll Speaker, Warlock Bond","Command 4D, General Skills 4D, Survival 3D; Great Weapon 3D, Hand Weapon 3D, Throwing 3D, Unarmed Combat 3D",,,medium-based Trollblood warbeast,Character's Tribe,25
Warrior,"Cautious Advance, Cavalry Charge, Crossbowman, Fast Draw, Fast Reload, Find Cover, Gunner, Head-Butt, Knife Thrower, Load Bearing, Quick Work, Roll with It, Sentry, Shield Guard, Shootist, Specialization (any), Two-Weapon Fighting","Command 3D,Any Craft(any) 3D, General Skills 4D, Interrogation 3D, Healing 3D, Persuasion 3D, Survival 3D; Archery 3D, Crossbow 4D, Great Weapon 4D, Hand Weapon 4D, Light Artillery 3D, Pistol 3D, Rifle 3D, Shield 3D, Throwing 3D, Unarmed Combat 4D",,,None,None,100
Wolf Rider,"Beast Handler, Expert Rider, Light Cavalry, Mount Attack (Duskwolf), Scent, Signal Howls, Swift Rider, Trained Rider (Duskwolf), Wolf Protector","General Skills 4D, Survival 4D, Tracking 4D; Great Weapon 4D, Hand Weapon 4D, Throwing 4D, Unarmed Combat 3D",,,duskwolf with tack,None,75
Wolf of Orboros,"Battle Plan: Brutal Charge, Bayonet Charge, Cleave, Crossbowman, Dual Shot (Crossbow), Fast Reload, Hunter, Load Bearing, Pathfinder, Precision Strike, Set Defense, Specialization (Cleft Weapon)","Command 3D, General Skills 4D, Nagivation 3D, Sneak 3D, Survival 3D, Tracking 3D; Crossbow 4D, Great Weapon 4D, Hand Weapon 4D","Bone Grinder, Brigand, Chieftan, Monster Hunter, Scout, Shaman (Devourer), Sorcerer (Fire), Sorcerer (Ice), Sorcerer (Stone), Sorcerer (Storm), Warlock (Circle), Warrior, Wolf Rider",,"Full Plate Armor, Wolf Pelt, Cleft Spear or Dual Crossbow with a Quiver of 10 Bolts",Wolves Of Orboros,0
